goal,region_code,value
AO,CA1,0.629580906418386
AO,CA2,0.654672226412778
AO,CA3,0.6530799883414
AO,OR,0.607041251696934
AO,WA,0.644219771127903
BD,CA1,0.543875644769208
BD,CA2,0.586228621625477
BD,CA3,0.580327661520783
BD,OR,0.537552798060842
BD,WA,0.583777482370151
CP,CA1,0.551585352115432
CP,CA2,0.592304517652732
CP,CA3,0.58346764057445
CP,OR,0.534749427149467
CP,WA,0.543267004528893
CS,CA1,0.551585352115432
CS,CA2,0.592304517652732
CS,CA3,0.58346764057445
CS,OR,0.534749427149467
CS,WA,0.543267004528893
CW,CA1,0.62566666666675
CW,CA2,0.66566666666675
CW,CA3,0.65566666666675
CW,OR,0.5426666666665
CW,WA,0.4159047619049
ECO,CA1,0.685599909788
ECO,CA2,0.725599909788
ECO,CA3,0.715599909788
ECO,OR,0.68462207616475
ECO,WA,0.7379937495975
FIS,CA1,0.600277320045886
FIS,CA2,0.631200461964278
FIS,CA3,0.63200492326215
FIS,OR,0.575550905129684
FIS,WA,0.611797056506403
HAB,CA1,0.591478408435818
HAB,CA2,0.635465196611056
HAB,CA3,0.63250015347995
HAB,OR,0.59566863998505
HAB,WA,0.666779918403741
ICO,CA1,0.560403544214674
ICO,CA2,0.604480228082074
ICO,CA3,0.601660575316183
ICO,OR,0.560405951809817
ICO,WA,0.627087421906405
LE,CA1,0.685599909788
LE,CA2,0.725599909788
LE,CA3,0.715599909788
LE,OR,0.68462207616475
LE,WA,0.7379937495975
LIV,CA1,0.685599909788
LIV,CA2,0.725599909788
LIV,CA3,0.715599909788
LIV,OR,0.68462207616475
LIV,WA,0.7379937495975
LSP,CA1,0.454942130737273
LSP,CA2,0.496020879043223
LSP,CA3,0.4877655634258
LSP,OR,0.421354909954951
LSP,WA,0.405742997635715
MAR,CA1,0.62566666666675
MAR,CA2,0.66566666666675
MAR,CA3,0.65566666666675
MAR,OR,0.5426666666665
MAR,WA,0.4159047619049
SP,CA1,0.507672837475973
SP,CA2,0.550250553562648
SP,CA3,0.544713069370992
SP,OR,0.490880430882384
SP,WA,0.51641520977106
SPP,CA1,0.496272881102598
SPP,CA2,0.536992046639898
SPP,CA3,0.528155169561617
SPP,OR,0.479436956136634
SPP,WA,0.50077504633656
TR,CA1,0.697888888889
TR,CA2,0.724555555555667
TR,CA3,0.717888888889
TR,OR,0.573619047618833
TR,WA,0.379396825396983
