"region_id","region_code","region_label","km2","unweighted","preservationist","extractive","nonextractive","extreme","cc_workshop","FIS","FP","MAR","AO","NP","CS","CP","TR","LIV","LE","ECO","ICO","SP","LSP","CW","HAB","BD","SPP"
1,"CA1","Northern California",196982,66.5056429891167,62.2255091564237,69.7518061789378,68.5812900881948,71.2323317948165,66.1476642423672,78.5333454918912,77.2670732299706,24.2723755238692,51.3829837630773,,45.9866523211527,50.7296332937557,98.9634139411217,83.0822733108442,73.9264861560627,65.0189482819558,57.1844122370709,45.5310773127291,34.2799031635783,89.1578438451186,65.2153146430431,65.6056230390622,65.9483753336813
2,"CA2","Central California",166753,70.5181125098613,67.1153259844264,73.9921025507664,72.4463187235032,75.5450296735458,68.8090344986384,79.4227948508162,78.1364353368991,24.4789810579637,56.6887955612466,,54.2979339013167,54.8178718075643,98.9634139411217,93.9252351004163,90.1815073837336,86.3958756279576,54.4633367063952,45.5618845671734,36.8301409837831,84.5068192225083,74.3996706155923,71.5083508671878,68.6617572625369
3,"CA3","Southern California",207611,72.7482139645125,69.7058139442625,76.3007545276725,74.085844748273,77.9093412089056,70.8677331298685,79.1550168139564,77.8852141819579,24.541701071029,55.4001770066396,,61.4738821754249,57.3598906119408,98.9634139411217,93.0417210115665,96.8803509593982,98.9711510358136,56.846034456508,49.3673616728485,42.1002149356414,84.916660824441,73.1417557513268,72.4869743068398,71.7908190789798
4,"OR","Oregon",173413,73.7907586293364,75.0071047831918,73.6132486006684,76.5854616570044,73.6690906103981,73.9967327793479,56.4432708635712,55.8790536776539,4.66256437205281,68.5914670093525,,72.6164125842336,70.9175904327242,100,95.8032324339866,97.9016162169933,100,63.8156723892064,44.0010169962557,24.6549998216753,88.8513973806178,64.4474346806798,65.3582733661969,66.1856004942291
5,"WA","Washington",76577,65.4473924299161,63.758164718074,65.5233266523653,67.4634984658515,65.4998056377795,66.4612964009258,64.3769212135228,53.0781373741855,26.8436169232258,47.4663803716074,,68.6006315271247,56.8275955272228,100,69.6042107066993,62.653729730451,55.799452726145,62.5653701391135,44.9488800810561,27.5389448349504,86.419323755652,64.6229735827556,69.0318535019451,73.190719656373
7,"CCO","California Current Ocean",821336,,,,,,,,,,,,,,,,,,,,,,,,
8,"CC","California Current Study Area (area.weighted.mean)",1642672,70.3377090841267,67.9506279752715,72.6891374227819,72.3431384581127,73.7757024881737,69.5675523614274,72.8872049846062,70.8288126702792,20.4818060251097,56.7437940874112,,59.319694726173,58.0665310484761,99.2789195914999,89.2303751696146,87.0397719987814,84.4673656678525,58.4482139852711,46.1297077968655,34.1137797078691,86.8214820995728,68.8662141617972,68.8106677380814,68.7013961353416
