"goal","dimension","region_code","value"
"AO","pressures","CA1",0.278802188935318
"AO","pressures","CA2",0.242830594856404
"AO","pressures","CA3",0.248645670108744
"AO","pressures","OR",0.353245550341581
"AO","pressures","WA",0.25495227246052
"AO","resilience","CA1",0.629580906418386
"AO","resilience","CA2",0.654672226412778
"AO","resilience","CA3",0.6530799883414
"AO","resilience","OR",0.607041251696934
"AO","resilience","WA",0.644219771127903
"AO","status","CA1",0.484530894522584
"AO","status","CA2",0.529669747256426
"AO","status","CA3",0.518210463570268
"AO","status","OR",0.657130503483362
"AO","status","WA",0.439033411781403
"AO","trend","CA1",0.007835516916063
"AO","trend","CA2",0.007160665069745
"AO","trend","CA3",0.007320732239006
"AO","trend","OR",0.005750822075247
"AO","trend","WA",0.050529283563212
"BD","pressures","CA1",0.315963290749917
"BD","pressures","CA2",0.270125234058793
"BD","pressures","CA3",0.277914257080727
"BD","pressures","OR",0.400827722875897
"BD","pressures","WA",0.278599658393749
"BD","resilience","CA1",0.543875644769208
"BD","resilience","CA2",0.586228621625477
"BD","resilience","CA3",0.580327661520783
"BD","resilience","OR",0.537552798060842
"BD","resilience","WA",0.583777482370151
"BD","status","CA1",0.667689135304188
"BD","status","CA2",0.704733459942876
"BD","status","CA3",0.714473647933324
"BD","status","OR",0.661076892519781
"BD","status","WA",0.661001967634454
"BD","trend","CA1",-0.164168236849698
"BD","trend","CA2",-0.111617520837133
"BD","trend","CA3",-0.105194841928449
"BD","trend","OR",-0.101181870558016
"BD","trend","WA",-0.017918302232898
"CP","pressures","CA1",0.244997863806682
"CP","pressures","CA2",0.221048322303009
"CP","pressures","CA3",0.215240359636894
"CP","pressures","OR",0.23731640661235
"CP","pressures","WA",0.164821082115877
"CP","resilience","CA1",0.551585352115432
"CP","resilience","CA2",0.592304517652732
"CP","resilience","CA3",0.58346764057445
"CP","resilience","OR",0.534749427149467
"CP","resilience","WA",0.543267004528893
"CP","status","CA1",0.502458074456084
"CP","status","CA2",0.524731431900418
"CP","status","CA3",0.565880364567654
"CP","status","OR",0.701221585892817
"CP","status","WA",0.546895267593375
"CP","trend","CA1",-0.122123821783859
"CP","trend","CA2",-0.049129608968447
"CP","trend","CA3",-0.140184003166297
"CP","trend","OR",-0.112635618409394
"CP","trend","WA",-0.069698243172286
"CS","pressures","CA1",0.255941209662541
"CS","pressures","CA2",0.224845839392168
"CS","pressures","CA3",0.224300750328362
"CS","pressures","OR",0.252184826673316
"CS","pressures","WA",0.175288986419406
"CS","resilience","CA1",0.551585352115432
"CS","resilience","CA2",0.592304517652732
"CS","resilience","CA3",0.58346764057445
"CS","resilience","OR",0.534749427149467
"CS","resilience","WA",0.543267004528893
"CS","status","CA1",0.461872127904533
"CS","status","CA2",0.515560247530589
"CS","status","CA3",0.588379631396431
"CS","status","OR",0.695554051161753
"CS","status","WA",0.635111645647019
"CS","trend","CA1",-0.15843983369501
"CS","trend","CA2",-0.021889809571105
"CS","trend","CA3",-0.042707247448324
"CS","trend","OR",-0.007805878525457
"CS","trend","WA",0.057966040913159
"CW","pressures","CA1",0.347723334443752
"CW","pressures","CA2",0.350686357451244
"CW","pressures","CA3",0.367238741299065
"CW","pressures","OR",0.325819596366882
"CW","pressures","WA",0.280713199852607
"CW","resilience","CA1",0.62566666666675
"CW","resilience","CA2",0.66566666666675
"CW","resilience","CA3",0.65566666666675
"CW","resilience","OR",0.5426666666665
"CW","resilience","WA",0.4159047619049
"CW","status","CA1",0.847473842533073
"CW","status","CA2",0.798844079260257
"CW","status","CA3",0.815087595416458
"CW","status","OR",0.846984322140574
"CW","status","WA",0.84342501453903
"CW","trend","CA1",0.018453067393836
"CW","trend","CA2",0.017588052445722
"CW","trend","CA3",-0.017254811177631
"CW","trend","OR",0.039560020717689
"CW","trend","WA",0.006916617178034
"ECO","pressures","CA1",0.251591502412641
"ECO","pressures","CA2",0.23636987027492
"ECO","pressures","CA3",0.239558563146414
"ECO","pressures","OR",0.241258335802183
"ECO","pressures","WA",0.181341894477261
"ECO","resilience","CA1",0.685599909788
"ECO","resilience","CA2",0.725599909788
"ECO","resilience","CA3",0.715599909788
"ECO","resilience","OR",0.68462207616475
"ECO","resilience","WA",0.7379937495975
"ECO","status","CA1",0.66305877267864
"ECO","status","CA2",0.824375511533204
"ECO","status","CA3",0.979423020716271
"ECO","status","OR",1
"ECO","status","WA",0.56996184012006
"ECO","trend","CA1",-0.271702568004198
"ECO","trend","CA2",-0.097632596730019
"ECO","trend","CA3",-0.094101095228922
"ECO","trend","OR",0.369998245593529
"ECO","trend","WA",-0.336848499941823
"FIS","pressures","CA1",0.304191339684531
"FIS","pressures","CA2",0.267366452948234
"FIS","pressures","CA3",0.288285261000632
"FIS","pressures","OR",0.381277643574389
"FIS","pressures","WA",0.282635495155456
"FIS","resilience","CA1",0.600277320045886
"FIS","resilience","CA2",0.631200461964278
"FIS","resilience","CA3",0.63200492326215
"FIS","resilience","OR",0.575550905129684
"FIS","resilience","WA",0.611797056506403
"FIS","status","CA1",0.799342694831409
"FIS","status","CA2",0.799342694831409
"FIS","status","CA3",0.799342694831409
"FIS","status","OR",0.578428247846565
"FIS","status","WA",0.618960402951067
"FIS","trend","CA1",-0.198046056515329
"FIS","trend","CA2",-0.198046056515329
"FIS","trend","CA3",-0.198046056515329
"FIS","trend","OR",-0.167913124838226
"FIS","trend","WA",-0.042478334235001
"FP","pressures","CA1",0.305001492439534
"FP","pressures","CA2",0.26874827380387
"FP","pressures","CA3",0.288489830844168
