"goal","dimension","region_code","value"
"AO","pressures","CA1",0.277406461536485
"AO","pressures","CA2",0.24107243108912
"AO","pressures","CA3",0.247560909441514
"AO","pressures","OR",0.35147743532398
"AO","pressures","WA",0.253053022526621
"AO","resilience","CA1",0.629580906418386
"AO","resilience","CA2",0.654672226412778
"AO","resilience","CA3",0.6530799883414
"AO","resilience","OR",0.607041251696934
"AO","resilience","WA",0.644219771127903
"AO","status","CA1",0.484530894522584
"AO","status","CA2",0.529669747256426
"AO","status","CA3",0.518210463570268
"AO","status","OR",0.657130503483362
"AO","status","WA",0.439033411781403
"AO","trend","CA1",0.007835516916063
"AO","trend","CA2",0.007160665069745
"AO","trend","CA3",0.007320732239006
"AO","trend","OR",0.005750822075247
"AO","trend","WA",0.050529283563212
"BD","pressures","CA1",0.311978147790535
"BD","pressures","CA2",0.26499114533072
"BD","pressures","CA3",0.274681476019635
"BD","pressures","OR",0.39572939732239
"BD","pressures","WA",0.27307147142032
"BD","resilience","CA1",0.580007589213615
"BD","resilience","CA2",0.622360566069883
"BD","resilience","CA3",0.61645960596519
"BD","resilience","OR",0.596525020283103
"BD","resilience","WA",0.693624704592377
"BD","status","CA1",0.667689135304188
"BD","status","CA2",0.704733459942876
"BD","status","CA3",0.714473647933324
"BD","status","OR",0.661076892519781
"BD","status","WA",0.661001967634454
"BD","trend","CA1",-0.164168236849698
"BD","trend","CA2",-0.111617520837133
"BD","trend","CA3",-0.105194841928449
"BD","trend","OR",-0.101181870558016
"BD","trend","WA",-0.017918302232898
"CP","pressures","CA1",0.240878094376685
"CP","pressures","CA2",0.216453156159552
"CP","pressures","CA3",0.211271241908298
"CP","pressures","OR",0.231115889010733
"CP","pressures","WA",0.158863207001543
"CP","resilience","CA1",0.604140907670932
"CP","resilience","CA2",0.644860073208232
"CP","resilience","CA3",0.63602319612995
"CP","resilience","OR",0.620527204927301
"CP","resilience","WA",0.703044782306677
"CP","status","CA1",0.502458074456084
"CP","status","CA2",0.524731431900418
"CP","status","CA3",0.565880364567654
"CP","status","OR",0.701221585892817
"CP","status","WA",0.546895267593375
"CP","trend","CA1",-0.122123821783859
"CP","trend","CA2",-0.049129608968447
"CP","trend","CA3",-0.140184003166297
"CP","trend","OR",-0.112635618409394
"CP","trend","WA",-0.069698243172286
"CS","pressures","CA1",0.252798178994364
"CS","pressures","CA2",0.220964734708887
"CS","pressures","CA3",0.221546157862706
"CS","pressures","OR",0.248132689467064
"CS","pressures","WA",0.170371936575364
"CS","resilience","CA1",0.604140907670932
"CS","resilience","CA2",0.644860073208232
"CS","resilience","CA3",0.63602319612995
"CS","resilience","OR",0.620527204927301
"CS","resilience","WA",0.703044782306677
"CS","status","CA1",0.461872127904533
"CS","status","CA2",0.515560247530589
"CS","status","CA3",0.588379631396431
"CS","status","OR",0.695554051161753
"CS","status","WA",0.635111645647019
"CS","trend","CA1",-0.15843983369501
"CS","trend","CA2",-0.021889809571105
"CS","trend","CA3",-0.042707247448324
"CS","trend","OR",-0.007805878525457
"CS","trend","WA",0.057966040913159
"CW","pressures","CA1",0.334653846672175
"CW","pressures","CA2",0.333539829045889
"CW","pressures","CA3",0.355988621359051
"CW","pressures","OR",0.309310374761899
"CW","pressures","WA",0.261631543061623
"CW","resilience","CA1",0.78333333333325
"CW","resilience","CA2",0.82333333333325
"CW","resilience","CA3",0.81333333333325
"CW","resilience","OR",0.8
"CW","resilience","WA",0.89523809523825
"CW","status","CA1",0.847473842533073
"CW","status","CA2",0.798844079260257
"CW","status","CA3",0.815087595416458
"CW","status","OR",0.846984322140574
"CW","status","WA",0.84342501453903
"CW","trend","CA1",0.018453067393836
"CW","trend","CA2",0.017588052445722
"CW","trend","CA3",-0.017254811177631
"CW","trend","OR",0.039560020717689
"CW","trend","WA",0.006916617178034
"ECO","pressures","CA1",0.249097414702789
"ECO","pressures","CA2",0.233203987118576
"ECO","pressures","CA3",0.237593086108787
"ECO","pressures","OR",0.238068646871785
"ECO","pressures","WA",0.177947991324766
"ECO","resilience","CA1",0.685599909788
"ECO","resilience","CA2",0.725599909788
"ECO","resilience","CA3",0.715599909788
"ECO","resilience","OR",0.68462207616475
"ECO","resilience","WA",0.7379937495975
"ECO","status","CA1",0.66305877267864
"ECO","status","CA2",0.824375511533204
"ECO","status","CA3",0.979423020716271
"ECO","status","OR",1
"ECO","status","WA",0.56996184012006
"ECO","trend","CA1",-0.271702568004198
"ECO","trend","CA2",-0.097632596730019
"ECO","trend","CA3",-0.094101095228922
"ECO","trend","OR",0.369998245593529
"ECO","trend","WA",-0.336848499941823
"FIS","pressures","CA1",0.303144544135406
"FIS","pressures","CA2",0.266047830122771
"FIS","pressures","CA3",0.287471690500209
"FIS","pressures","OR",0.379951557311188
"FIS","pressures","WA",0.281211057705032
"FIS","resilience","CA1",0.600277320045886
"FIS","resilience","CA2",0.631200461964278
"FIS","resilience","CA3",0.63200492326215
"FIS","resilience","OR",0.575550905129684
"FIS","resilience","WA",0.611797056506403
"FIS","status","CA1",0.799342694831409
"FIS","status","CA2",0.799342694831409
"FIS","status","CA3",0.799342694831409
"FIS","status","OR",0.578428247846565
"FIS","status","WA",0.618960402951067
"FIS","trend","CA1",-0.198046056515329
"FIS","trend","CA2",-0.198046056515329
"FIS","trend","CA3",-0.198046056515329
"FIS","trend","OR",-0.167913124838226
"FIS","trend","WA",-0.042478334235001
"FP","pressures","CA1",0.303566885228158
"FP","pressures","CA2",0.266934099855754
"FP","pressures","CA3",0.287366965381968
"FP","pressures","OR",0.379349927714626
"FP","pressures","WA",0.2704620298151
"FP","resilience","CA1",0.604836082571776
"FP","resilience","CA2",0.635985271369111
"FP","resilience","CA3",0.636520662165596
"FP","resilience","OR",0.578029916463198
"FP","resilience","WA",0.694638218422409
"FP","status","CA1",0.785224784971593
"FP","status","CA2",0.785224784971593
"FP","status","CA3",0.785224784971593
"FP","status","OR",0.572560251419005
"FP","status","WA",0.516945117543389
"FP","trend","CA1",-0.193369675779546
"FP","trend","CA2",-0.193369675779546
"FP","trend","CA3",-0.193369675779546
"FP","trend","OR",-0.16748419899692
"FP","trend","WA",-0.056271931896061
"HAB","pressures","CA1",0.276378917309735
"HAB","pressures","CA2",0.222180665221701
"HAB","pressures","CA3",0.249204496869618
"HAB","pressures","OR",0.366633180935387
"HAB","pressures","WA",0.236210335015328
"HAB","resilience","CA1",0.611186741769131
"HAB","resilience","CA2",0.655173529944368
"HAB","resilience","CA3",0.652208486813262
"HAB","resilience","OR",0.627835306651738
"HAB","resilience","WA",0.72669658507041
"HAB","status","CA1",0.652976522621446
"HAB","status","CA2",0.712196767503991
"HAB","status","CA3",0.705282000392088
"HAB","status","OR",0.639403890073335
"HAB","status","WA",0.605680530793038
"HAB","trend","CA1",-0.157961433372992
"HAB","trend","CA2",-0.068887486276857
"HAB","trend","CA3",-0.077180831341857
"HAB","trend","OR",-0.08794868069567
"HAB","trend","WA",-0.010831138748376
"ICO","pressures","CA1",0.322814701372035
"ICO","pressures","CA2",0.302578802065544
"ICO","pressures","CA3",0.292059771295799
"ICO","pressures","OR",0.31536385793576
"ICO","pressures","WA",0.241170505711236
"ICO","resilience","CA1",0.586681321992424
"ICO","resilience","CA2",0.630758005859824
"ICO","resilience","CA3",0.627938353093933
"ICO","resilience","OR",0.603294840698734
"ICO","resilience","WA",0.706976310795297
"ICO","status","CA1",0.538313609467456
"ICO","status","CA2",0.516883116883117
"ICO","status","CA3",0.533653846153846
"ICO","status","OR",0.607976827094474
"ICO","status","WA",0.599025974025974
"ICO","trend","CA1",0.071095571095571
"ICO","trend","CA2",0.014285714285714
"ICO","trend","CA3",0.043956043956044
"ICO","trend","OR",0.030024509803922
"ICO","trend","WA",-0.054511278195489
"LE","pressures","CA1",0.249097414702789
"LE","pressures","CA2",0.233203987118576
"LE","pressures","CA3",0.237593086108787
"LE","pressures","OR",0.238068646871785
"LE","pressures","WA",0.177947991324766
"LE","resilience","CA1",0.685599909788
"LE","resilience","CA2",0.725599909788
"LE","resilience","CA3",0.715599909788
"LE","resilience","OR",0.68462207616475
"LE","resilience","WA",0.7379937495975
"LE","status","CA1",0.741999234946315
"LE","status","CA2",0.864776655138441
"LE","status","CA3",0.937607019187963
"LE","status","OR",0.958032324339866
"LE","status","WA",0.635190030331414
"LE","trend","CA1",-0.224765762239956
"LE","trend","CA2",-0.11311318375037
"LE","trend","CA3",-0.106591595990776
"LE","trend","OR",0.196975413142692
"LE","trend","WA",-0.314835315556547
"LIV","pressures","CA1",0.249097414702789
"LIV","pressures","CA2",0.233203987118576
"LIV","pressures","CA3",0.237593086108787
"LIV","pressures","OR",0.238068646871785
"LIV","pressures","WA",0.177947991324766
"LIV","resilience","CA1",0.685599909788
"LIV","resilience","CA2",0.725599909788
"LIV","resilience","CA3",0.715599909788
"LIV","resilience","OR",0.68462207616475
"LIV","resilience","WA",0.7379937495975
"LIV","status","CA1",0.82093969721399
"LIV","status","CA2",0.905177798743678
"LIV","status","CA3",0.895791017659655
"LIV","status","OR",0.916064648679731
"LIV","status","WA",0.700418220542769
"LIV","trend","CA1",-0.177828956475713
"LIV","trend","CA2",-0.128593770770722
"LIV","trend","CA3",-0.11908209675263
"LIV","trend","OR",0.023952580691854
"LIV","trend","WA",-0.292822131171272
"LSP","pressures","CA1",0.313273797211361
"LSP","pressures","CA2",0.293128808919007
"LSP","pressures","CA3",0.292116469928554
"LSP","pressures","OR",0.270473083670201
"LSP","pressures","WA",0.206258500384231
"LSP","resilience","CA1",0.533775464070523
"LSP","resilience","CA2",0.574854212376472
"LSP","resilience","CA3",0.56659889675905
"LSP","resilience","OR",0.550021576621701
"LSP","resilience","WA",0.64540966430239
"LSP","status","CA1",0.371435969286366
"LSP","status","CA2",0.405513005576372
"LSP","status","CA3",0.450558093126175
"LSP","status","OR",0.240743926514463
"LSP","status","WA",0.266846264270593
"LSP","trend","CA1",0.010872716533352
"LSP","trend","CA2",0.007994128614798
"LSP","trend","CA3",0.00791101720006
"LSP","trend","OR",1e-15
"LSP","trend","WA",0
"MAR","pressures","CA1",0.32010354918282
"MAR","pressures","CA2",0.301635778188876
"MAR","pressures","CA3",0.28326647855348
"MAR","pressures","OR",0.325480157132444
"MAR","pressures","WA",0.244433258359713
"MAR","resilience","CA1",0.78333333333325
"MAR","resilience","CA2",0.82333333333325
"MAR","resilience","CA3",0.81333333333325
"MAR","resilience","OR",0.8
"MAR","resilience","WA",0.89523809523825
"MAR","status","CA1",0.23244141839708
"MAR","status","CA2",0.23244141839708
"MAR","status","CA3",0.23244141839708
"MAR","status","OR",0.047141250864198
"MAR","status","WA",0.269915099943415
"MAR","trend","CA1",-0.010267112285486
"MAR","trend","CA2",-0.010267112285486
"MAR","trend","CA3",-0.010267112285486
"MAR","trend","OR",-0.129078281468944
"MAR","trend","WA",-0.089673129171173
"SP","pressures","CA1",0.318044249291698
"SP","pressures","CA2",0.297853805492276
"SP","pressures","CA3",0.292088120612177
"SP","pressures","OR",0.29291847080298
"SP","pressures","WA",0.223714503047733
"SP","resilience","CA1",0.560228393031473
"SP","resilience","CA2",0.602806109118148
"SP","resilience","CA3",0.597268624926492
"SP","resilience","OR",0.576658208660217
"SP","resilience","WA",0.676192987548843
"SP","status","CA1",0.454874789376911
"SP","status","CA2",0.461198061229744
"SP","status","CA3",0.49210596964001
"SP","status","OR",0.424360376804468
"SP","status","WA",0.432936119148284
"SP","trend","CA1",0.040984143814462
"SP","trend","CA2",0.011139921450256
"SP","trend","CA3",0.025933530578052
"SP","trend","OR",0.015012254901962
"SP","trend","WA",-0.027255639097744
"SPP","pressures","CA1",0.347577378271335
"SPP","pressures","CA2",0.30780162543974
"SPP","pressures","CA3",0.300158455169652
"SPP","pressures","OR",0.424825613709394
"SPP","pressures","WA",0.309932607825313
"SPP","resilience","CA1",0.548828436658098
"SPP","resilience","CA2",0.589547602195398
"SPP","resilience","CA3",0.580710725117117
"SPP","resilience","OR",0.565214733914467
"SPP","resilience","WA",0.660552824114343
"SPP","status","CA1",0.682401747986929
"SPP","status","CA2",0.69727015238176
"SPP","status","CA3",0.723665295474559
"SPP","status","OR",0.682749894966228
"SPP","status","WA",0.71632340447587
"SPP","trend","CA1",-0.170375040326405
"SPP","trend","CA2",-0.154347555397409
"SPP","trend","CA3",-0.133208852515041
"SPP","trend","OR",-0.114415060420363
"SPP","trend","WA",-0.02500546571742
"TR","pressures","CA1",0.397930026326107
"TR","pressures","CA2",0.417946814291381
"TR","pressures","CA3",0.434391249608496
"TR","pressures","OR",0.364299646423497
"TR","pressures","WA",0.347652238982104
"TR","resilience","CA1",0.8555555555555
"TR","resilience","CA2",0.882222222222167
"TR","resilience","CA3",0.8755555555555
"TR","resilience","OR",0.830952380952333
"TR","resilience","WA",0.858730158730333
"TR","status","CA1",0.979268278822435
"TR","status","CA2",0.979268278822435
"TR","status","CA3",0.979268278822435
"TR","status","OR",1
"TR","status","WA",1
"TR","trend","CA1",0.137420821698953
"TR","trend","CA2",0.137420821698953
"TR","trend","CA3",0.137420821698953
"TR","trend","OR",0.651067423483948
"TR","trend","WA",0.579321637209179
"AO","score","CA1",0.513958239582506
"BD","score","CA1",0.660497120775155
"CP","score","CA1",0.512018285901347
"CS","score","CA1",0.464132625218201
"CW","score","CA1",0.915453018553244
"ECO","score","CA1",0.650462347730973
"FIS","score","CA1",0.785499261658789
"FP","score","CA1",0.773391899889393
"HAB","score","CA1",0.654495483696982
"ICO","score","CA1",0.574571727326898
"LE","score","CA1",0.739570212404106
"LIV","score","CA1",0.831160569883984
"LSP","score","CA1",0.386302744127071
"MAR","score","CA1",0.249408115211179
"SP","score","CA1",0.479297049521738
"SPP","score","CA1",0.666113354715194
"TR","score","CA1",0.989634139411218
"AO","score","CA2",0.567087095465723
"BD","score","CA2",0.719937439468816
"CP","score","CA2",0.553186947007541
"CS","score","CA2",0.54783929142212
"CW","score","CA2",0.868110192391937
"ECO","score","CA2",0.864389385909742
"FIS","score","CA2",0.794470505524211
"FP","score","CA2",0.782173874094636
"HAB","score","CA2",0.746643242983243
"ICO","score","CA2",0.547345769608941
"LE","score","CA2",0.902266807842009
"LIV","score","CA2",0.939725189383342
"LSP","score","CA2",0.425449129814128
"MAR","score","CA2",0.251650519928537
"SP","score","CA2",0.486125356986372
"SPP","score","CA2",0.693631556242725
"TR","score","CA2",0.989634139411218
"AO","score","CA3",0.554155144313541
"BD","score","CA3",0.729586994312629
"CP","score","CA3",0.578964894469977
"CS","score","CA3",0.620200251189709
"CW","score","CA3",0.871884134518806
"ECO","score","CA3",0.989711510358136
"FIS","score","CA3",0.79175098112991
"FP","score","CA3",0.779595915692474
"HAB","score","CA3",0.733944717198569
"ICO","score","CA3",0.571087123654511
"LE","score","CA3",0.968803509593982
"LIV","score","CA3",0.930707718467159
"LSP","score","CA3",0.472157754029181
"MAR","score","CA3",0.251971506288447
"SP","score","CA3",0.521161144204282
"SPP","score","CA3",0.724871036882545
"TR","score","CA3",0.989634139411218
"AO","score","OR",0.686106380674961
"BD","score","OR",0.6605714008352
"CP","score","OR",0.719817936742602
"CS","score","OR",0.736473583453981
"CW","score","OR",0.923492161070287
"ECO","score","OR",1
"FIS","score","OR",0.564559271185075
"FP","score","OR",0.559205278676184
"HAB","score","OR",0.648122509125465
"ICO","score","OR",0.642976121451569
"LE","score","OR",0.979016162169933
"LIV","score","OR",0.958032324339866
"LSP","score","OR",0.25184836081878
"MAR","score","OR",0.048793766189358
"SP","score","OR",0.44636183370547
"SPP","score","OR",0.67239610177118
"TR","score","OR",1
"AO","score","WA",0.474801386355495
"BD","score","WA",0.702901991481119
"CP","score","WA",0.58323156257153
"CS","score","WA",0.703265249766321
"CW","score","WA",0.921712507269515
"ECO","score","WA",0.558313702483637
"FIS","score","WA",0.643914687747646
"FP","score","WA",0.543380643490162
"HAB","score","WA",0.652500725914066
"ICO","score","WA",0.634126907124038
"LE","score","WA",0.626892999923162
"LIV","score","WA",0.69643433708211
"LSP","score","WA",0.286181929114964
"MAR","score","WA",0.290790954527191
"SP","score","WA",0.461305691739834
"SPP","score","WA",0.751763866420932
"TR","score","WA",1
"AO","xF","CA1",0.543385584642428
"BD","xF","CA1",0.653305106246122
"CP","xF","CA1",0.521578497346609
"CS","xF","CA1",0.46639312253187
"CW","xF","CA1",0.983432194573414
"ECO","xF","CA1",0.637865922783306
"FIS","xF","CA1",0.771655828486169
"FP","xF","CA1",0.761559014807192
"HAB","xF","CA1",0.656014444772518
"ICO","xF","CA1",0.610829845186339
"LE","xF","CA1",0.737141189861896
"LIV","xF","CA1",0.841381442553979
"LSP","xF","CA1",0.401169518967775
"MAR","xF","CA1",0.266374812025279
"SP","xF","CA1",0.503719309666566
"SPP","xF","CA1",0.649824961443458
"TR","xF","CA1",1
"AO","xF","CA2",0.604504443675021
"BD","xF","CA2",0.735141418994757
"CP","xF","CA2",0.581642462114664
"CS","xF","CA2",0.580118335313651
"CW","xF","CA2",0.937376305523616
"ECO","xF","CA2",0.904403260286281
"FIS","xF","CA2",0.789598316217013
"FP","xF","CA2",0.779122963217679
"HAB","xF","CA2",0.781089718462496
"ICO","xF","CA2",0.577808422334766
"LE","xF","CA2",0.939756960545576
"LIV","xF","CA2",0.974272580023005
"LSP","xF","CA2",0.445385254051885
"MAR","xF","CA2",0.270859621459994
"SP","xF","CA2",0.511052652743
"SPP","xF","CA2",0.689992960103689
"TR","xF","CA2",1
"AO","xF","CA3",0.590099825056813
"BD","xF","CA3",0.744700340691934
"CP","xF","CA3",0.5920494243723
"CS","xF","CA3",0.652020870982987
"CW","xF","CA3",0.928680673621153
"ECO","xF","CA3",1
"FIS","xF","CA3",0.784159267428412
"FP","xF","CA3",0.773967046413356
"HAB","xF","CA3",0.76260743400505
"ICO","xF","CA3",0.608520401155176
"LE","xF","CA3",1
"LIV","xF","CA3",0.965624419274663
"LSP","xF","CA3",0.493757414932187
"MAR","xF","CA3",0.271501594179813
"SP","xF","CA3",0.550216318768553
"SPP","xF","CA3",0.726076778290531
"TR","xF","CA3",1
"AO","xF","OR",0.71508225786656
"BD","xF","OR",0.660065909150619
"CP","xF","OR",0.738414287592387
"CS","xF","OR",0.777393115746209
"CW","xF","OR",1
"ECO","xF","OR",1
"FIS","xF","OR",0.550690294523584
"FP","xF","OR",0.545850305933362
"HAB","xF","OR",0.656841128177595
"ICO","xF","OR",0.677975415808664
"LE","xF","OR",1
"LIV","xF","OR",1
"LSP","xF","OR",0.262952795123097
"MAR","xF","OR",0.050446281514518
"SP","xF","OR",0.468363290606473
"SPP","xF","OR",0.662042308576131
"TR","xF","OR",1
"AO","xF","WA",0.510569360929586
"BD","xF","WA",0.744802015327784
"CP","xF","WA",0.619567857549685
"CS","xF","WA",0.771418853885624
"CW","xF","WA",1
"ECO","xF","WA",0.546665564847215
"FIS","xF","WA",0.668868972544226
"FP","xF","WA",0.569816169436934
"HAB","xF","WA",0.699320921035094
"ICO","xF","WA",0.669227840222103
"LE","xF","WA",0.618595969514911
"LIV","xF","WA",0.69245045362145
"LSP","xF","WA",0.305517593959335
"MAR","xF","WA",0.311666809110966
"SP","xF","WA",0.489675264331384
"SPP","xF","WA",0.787204328365995
"TR","xF","WA",1
