"region_id","region_code","region_label","km2","unweighted","preservationist","extractive","nonextractive","extreme","cc_workshop","FIS","FP","MAR","AO","NP","CS","CP","TR","LIV","LE","ECO","ICO","SP","LSP","CW","HAB","BD","SPP"
1,"CA1","Northern California",196982,67.7287929502966,63.7686565645098,70.661852783978,69.6355692251075,71.9978171469232,67.8341359041883,78.5361198176885,77.2697306853483,24.2723755238692,51.384665453007,,48.4703448892725,55.8568371791286,98.9634139411217,83.0822733108442,73.9264861560627,65.0189482819558,57.1856578082495,47.505137590259,38.1242436800396,89.1578438451186,68.0875032622027,67.024676813351,65.9515332696302
2,"CA2","Central California",166753,72.3213084040416,69.4755849887492,75.277027611314,73.8774024372968,76.5981743260394,71.1262803747163,79.4296590322954,78.1430103599202,24.4789810579637,56.6933439849612,,60.043554591599,61.0155227064994,98.9634139411217,93.9252351004163,90.1815073837336,86.3958756279576,54.4662957872673,48.1742545516947,41.984662849571,84.5068192225083,77.8134804779313,73.1703488943368,68.6697408035086
3,"CA3","Southern California",207611,74.28847805475,71.6909480109635,77.4167386708281,75.3681033228126,78.8325174839285,72.9309715732123,79.164367805993,77.8941712568979,24.541701071029,55.4062392149383,,65.4331450907045,63.3370166492524,98.9634139411217,93.0417210115665,96.8803509593982,98.9711510358136,56.8501963701219,51.6638167113238,46.605816038229,84.916660824441,76.4230411733549,74.1014878446725,71.8021066672427
4,"OR","Oregon",173413,75.3838509774959,77.311963251084,74.5162086482519,78.0233578639544,74.2551786972946,76.2849518721662,56.4432708635712,55.8790536776539,4.66256437205281,68.5914670093525,,77.3253928490741,78.6309915782503,100,95.8032324339866,97.9016162169933,100,63.8156723892064,44.0010169962557,24.6549998216753,88.8513973806178,68.3399674689948,67.2737230892655,66.1856004942291
5,"WA","Washington",76577,66.3687025726366,65.047167835241,66.066268414326,68.3503184657441,65.8628415154192,67.8085070159168,64.3769212135228,53.0781373741855,26.8436169232258,47.4663803716074,,70.7026145288368,61.5362433791874,100,69.6042107066993,62.653729730451,55.799452726145,62.5653701391135,44.9488800810561,27.5389448349504,86.419323755652,67.6106597797887,70.5130139327533,73.190719656373
7,"CCO","California Current Ocean",821336,,,,,,,,,,,,,,,,,,,,,,,,
8,"CC","California Current Study Area (area.weighted.mean)",1642672,71.8087473788127,69.9085217171813,73.6916264832364,73.5969279065965,74.5640508709485,71.5727433474922,72.8916276373405,70.8330490156658,20.4818060251097,56.7466532182328,,63.2728767327002,64.1329143912736,99.2789195914999,89.2303751696146,87.0397719987814,84.4673656678525,58.4501655005607,47.7140097154594,37.2211684243124,86.8214820995728,72.1779736325094,70.4390496461283,68.7066275673421
