"region_id","region_code","region_label","km2","unweighted","preservationist","extractive","nonextractive","extreme","cc_workshop","FIS","FP","MAR","AO","NP","CS","CP","TR","LIV","LE","ECO","ICO","SP","LSP","CW","HAB","BD","SPP"
1,"CA1","Northern California",196982,66.5378325609591,62.2363963727759,69.9970305366447,68.2085798907421,71.6298802921195,66.197262031243,78.463638093532,81.0603174198799,24.2723755238692,51.3339903216207,,45.9866523211527,50.7296332937557,98.9634139411217,83.0749306662935,73.9198495703822,65.0130177551455,57.1820090421797,45.5301024126057,34.2799031635783,89.1578438451186,64.9309531119367,62.1586899229945,62.5711985253697
2,"CA2","Central California",166753,70.5425396862883,67.1215682758416,74.2321590838227,72.057154534547,75.9402085663224,68.8538496402691,79.3526886681423,81.9727465476467,24.4789810579637,56.6358222343224,,54.2979339013167,54.8178718075643,98.9634139411217,93.9170926975272,90.1737284037972,86.388460070974,54.4629174727028,45.5617074287651,36.8301409837831,84.5068192225083,74.2599687854079,67.9528136895526,65.1492882148903
3,"CA3","Southern California",207611,72.7560166526916,69.703682255378,76.5230763775247,73.6744250630095,78.2880984941018,70.9012363405529,79.0694379098432,81.6934023666495,24.541701071029,55.3469455543156,,61.4738821754249,57.3598906119408,98.9634139411217,93.0318846202413,96.8803509593982,98.9711510358136,56.845865084578,49.3672869459473,42.1002149356414,84.916660824441,73.0088088820412,68.8023164949858,68.117581972406
4,"OR","Oregon",173413,73.7907586293364,75.0071047831918,73.6132486006684,76.5854616570044,73.6690906103981,73.9967327793479,56.4432708635712,55.8790536776539,4.66256437205281,68.5914670093525,,72.6164125842336,70.9175904327242,100,95.8032324339866,97.9016162169933,100,63.8156723892064,44.0010169962557,24.6549998216753,88.8513973806178,64.4474346806798,65.3582733661969,66.1856004942291
5,"WA","Washington",76577,65.4473924299161,63.758164718074,65.5233266523653,67.4634984658515,65.4998056377795,66.4612964009258,64.3769212135228,53.0781373741855,26.8436169232258,47.4663803716074,,68.6006315271247,56.8275955272228,100,69.6042107066993,62.653729730451,55.799452726145,62.5653701391135,44.9488800810561,27.5389448349504,86.419323755652,64.6229735827556,69.0318535019451,73.190719656373
7,"CCO","California Current Ocean",821336,,,,,,,,,,,,,,,,,,,,,,,,
8,"CC","California Current Study Area (area.weighted.mean)",1642672,70.3523608162886,67.9539675883054,72.852884528785,72.070744762484,74.0470181771728,69.5970148055843,72.8346215828257,73.4800284791011,20.4818060251097,56.7078335032921,,59.319694726173,58.0665310484761,99.2789195914999,89.2244746831422,87.0366009991395,84.46443778766,58.4475096960549,46.1294191327088,34.1137797078691,86.8214820995728,68.736046928304,66.3307377666345,66.2498267141912
