"region_code","public.value","coastal.value","units","value"
"CA1",112.339881388,481.963090416104,"sqmi",0.23308814227042
"CA2",270.309624158,861.910061084805,"sqmi",0.31361697277067
"CA3",307.87121423,655.955983766388,"sqmi",0.469347367581367
"WA",1451.08815944724,5934.528405,"km",0.244516170522439
"OR",2507.88300533,2507.88300533,"km",1
