"region_code","value","units","metric"
"CA1",411,"sqmi","1mi_strip"
"CA2",701,"sqmi","1mi_strip"
"CA3",799,"sqmi","1mi_strip"
"OR",569,"sqmi","1mi_strip"
"WA",2395,"sqmi","1mi_strip"
"CA1",481.963090416104,"sqmi","1mi_inland"
"CA2",861.910061084805,"sqmi","1mi_inland"
"CA3",655.955983766388,"sqmi","1mi_inland"
"OR",894.315183628677,"sqmi","1mi_inland"
"WA",2319.16408921148,"sqmi","1mi_inland"
