"region_code","km2","metric"
"CA1",196982,"offshore_200nmiEEZ"
"CA2",166753,"offshore_200nmiEEZ"
"CA3",207611,"offshore_200nmiEEZ"
"OR",173413,"offshore_200nmiEEZ"
"WA",76577,"offshore_200nmiEEZ"
"CCO",821336,"offshore_200nmiEEZ"
