"region_code","county","state","state_code","is_coastal"
"CA1","Del Norte","California","CA","1"
"CA1","Humboldt","California","CA","1"
"CA1","Mendocino","California","CA","1"
"CA1","Sonoma","California","CA","1"
"CA2","Alameda","California","CA","1"
"CA2","Contra Costa","California","CA","1"
"CA2","Marin","California","CA","1"
"CA2","Monterey","California","CA","1"
"CA2","Napa","California","CA","1"
"CA2","Sacramento","California","CA","0"
"CA2","San Francisco","California","CA","1"
"CA2","San Joaquin","California","CA","0"
"CA2","San Luis Obispo","California","CA","1"
"CA2","San Mateo","California","CA","1"
"CA2","Santa Clara","California","CA","1"
"CA2","Santa Cruz","California","CA","1"
"CA2","Solano","California","CA","1"
"CA2","Yolo","California","CA","0"
"CA3","Los Angeles","California","CA","1"
"CA3","Orange","California","CA","1"
"CA3","San Diego","California","CA","1"
"CA3","Santa Barbara","California","CA","1"
"CA3","Ventura","California","CA","1"
"OR","Clatsop","Oregon","OR","1"
"OR","Coos","Oregon","OR","1"
"OR","Curry","Oregon","OR","1"
"OR","Douglas","Oregon","OR","1"
"OR","Lane","Oregon","OR","1"
"OR","Lincoln","Oregon","OR","1"
"OR","Tillamook","Oregon","OR","1"
"WA","Clallam","Washington","WA","1"
"WA","Grays Harbor","Washington","WA","1"
"WA","Island","Washington","WA","1"
"WA","Jefferson","Washington","WA","1"
"WA","King","Washington","WA","1"
"WA","Kitsap","Washington","WA","1"
"WA","Mason","Washington","WA","1"
"WA","Pacific","Washington","WA","1"
"WA","Pierce","Washington","WA","1"
"WA","San Juan","Washington","WA","1"
"WA","Skagit","Washington","WA","1"
"WA","Snohomish","Washington","WA","1"
"WA","Thurston","Washington","WA","1"
"WA","Wahkiakum","Washington","WA","1"
"WA","Whatcom","Washington","WA","1"
