"region_code","category","km2"
"CA","approved",0.0333054916063
"CA","conditionally-approved",50.5132914753
"CA","restricted",6.5348691314
"CA","unclassified",3.8624026879
"OR","approved",39.9769100748
"OR","conditionally-approved",64.2590584155
"OR","restricted",8.21079118803
"WA","approved",974.001235591
"WA","conditional",50.5612151685
"WA","restricted",1.3432639746
"WA","unclassified",230.419225416
