"region_code","sector_code","metric","county","year","value"
"CA1","CO","jobs","*",2000,
"CA2","CO","jobs","*",2000,
"CA3","CO","jobs","*",2000,
"OR","CO","jobs","*",2000,
"WA","CO","jobs","*",2000,2641
"CA1","LI","jobs","*",2000,
"CA2","LI","jobs","*",2000,
"CA3","LI","jobs","*",2000,
"OR","LI","jobs","*",2000,3709.37098844673
"WA","LI","jobs","*",2000,22710
"CA1","SH","jobs","*",2000,
"CA2","SH","jobs","*",2000,
"CA3","SH","jobs","*",2000,
"OR","SH","jobs","*",2000,3542.31884057971
"WA","SH","jobs","*",2000,24117
"CA1","TO","jobs","*",2000,
"CA2","TO","jobs","*",2000,
"CA3","TO","jobs","*",2000,
"OR","TO","jobs","*",2000,12810.6223071952
"WA","TO","jobs","*",2000,139286
"CA1","TR","jobs","*",2000,
"CA2","TR","jobs","*",2000,
"CA3","TR","jobs","*",2000,
"OR","TR","jobs","*",2000,7216.84491156114
"WA","TR","jobs","*",2000,42783
"CA1","CO","revenue","*",2000,
"CA2","CO","revenue","*",2000,
"CA3","CO","revenue","*",2000,
"OR","CO","revenue","*",2000,
"WA","CO","revenue","*",2000,255899358
"CA1","LI","revenue","*",2000,
"CA2","LI","revenue","*",2000,
"CA3","LI","revenue","*",2000,
"OR","LI","revenue","*",2000,196030324.415222
"WA","LI","revenue","*",2000,2282147821
"CA1","SH","revenue","*",2000,
"CA2","SH","revenue","*",2000,
"CA3","SH","revenue","*",2000,
"OR","SH","revenue","*",2000,222774138.793208
"WA","SH","revenue","*",2000,1161879289
"CA1","TO","revenue","*",2000,
"CA2","TO","revenue","*",2000,
"CA3","TO","revenue","*",2000,
"OR","TO","revenue","*",2000,429617664.611219
"WA","TO","revenue","*",2000,6191971019
"CA1","TR","revenue","*",2000,
"CA2","TR","revenue","*",2000,
"CA3","TR","revenue","*",2000,
"OR","TR","revenue","*",2000,561299922.950856
"WA","TR","revenue","*",2000,2432102647
"CA1","CO","wages","*",2000,
"CA2","CO","wages","*",2000,
"CA3","CO","wages","*",2000,
"OR","CO","wages","*",2000,
"WA","CO","wages","*",2000,50426.516086671
"CA1","LI","wages","*",2000,
"CA2","LI","wages","*",2000,
"CA3","LI","wages","*",2000,
"OR","LI","wages","*",2000,22336.8970238095
"WA","LI","wages","*",2000,43191.3592808357
"CA1","SH","wages","*",2000,
"CA2","SH","wages","*",2000,
"CA3","SH","wages","*",2000,
"OR","SH","wages","*",2000,40247.5871287129
"WA","SH","wages","*",2000,48006.5086659475
"CA1","TO","wages","*",2000,
"CA2","TO","wages","*",2000,
"CA3","TO","wages","*",2000,
"OR","TO","wages","*",2000,12008.3221158902
"WA","TO","wages","*",2000,15350.4766603416
"CA1","TR","wages","*",2000,
"CA2","TR","wages","*",2000,
"CA3","TR","wages","*",2000,
"OR","TR","wages","*",2000,52497.6649011299
"WA","TR","wages","*",2000,54090.8028973053
"CA1","CO","jobs","ALAMEDA",2000,
"CA2","CO","jobs","ALAMEDA",2000,615.204914275236
"CA3","CO","jobs","ALAMEDA",2000,
"OR","CO","jobs","ALAMEDA",2000,
"WA","CO","jobs","ALAMEDA",2000,
"CA1","LI","jobs","ALAMEDA",2000,
"CA2","LI","jobs","ALAMEDA",2000,84.6423855633803
"CA3","LI","jobs","ALAMEDA",2000,
"OR","LI","jobs","ALAMEDA",2000,
"WA","LI","jobs","ALAMEDA",2000,
"CA1","SH","jobs","ALAMEDA",2000,
"CA2","SH","jobs","ALAMEDA",2000,
"CA3","SH","jobs","ALAMEDA",2000,
"OR","SH","jobs","ALAMEDA",2000,
"WA","SH","jobs","ALAMEDA",2000,
"CA1","TO","jobs","ALAMEDA",2000,
"CA2","TO","jobs","ALAMEDA",2000,30892.1611165508
"CA3","TO","jobs","ALAMEDA",2000,
"OR","TO","jobs","ALAMEDA",2000,
"WA","TO","jobs","ALAMEDA",2000,
"CA1","TR","jobs","ALAMEDA",2000,
"CA2","TR","jobs","ALAMEDA",2000,19520.3313757818
"CA3","TR","jobs","ALAMEDA",2000,
"OR","TR","jobs","ALAMEDA",2000,
"WA","TR","jobs","ALAMEDA",2000,
"CA1","CO","revenue","ALAMEDA",2000,
"CA2","CO","revenue","ALAMEDA",2000,56545388.9354254
