"region_code","value","units","metric"
"CA1",1186.26699869,"km","hires"
"CA2",2350.6400092,"km","hires"
"CA3",1697.06278984,"km","hires"
"OR",2507.88300533,"km","hires"
"WA",5934.528405,"km","hires"
