"","region_code","category","km2"
"1","CA","approved",0.0333054916063
"2","CA","conditionally-approved",50.5132914753
"3","CA","restricted",6.5348691314
"4","CA","unclassified",3.8624026879
"5","OR","approved",39.9769100748
"6","OR","conditionally-approved",64.2590584155
"7","OR","restricted",8.21079118803
"8","WA","approved",974.001235591
"9","WA","conditional",50.5612151685
"10","WA","restricted",1.3432639746
"11","WA","unclassified",230.419225416
