"goal","dimension","region_code","value"
"AO","pressures","CA1",0.284321515598201
"AO","pressures","CA2",0.24837971178617
"AO","pressures","CA3",0.254198503931634
"AO","pressures","OR",0.353245550341581
"AO","pressures","WA",0.25495227246052
"AO","resilience","CA1",0.629370557392241
"AO","resilience","CA2",0.654151785053359
"AO","resilience","CA3",0.652370997324452
"AO","resilience","OR",0.607041251696934
"AO","resilience","WA",0.644219771127903
"AO","status","CA1",0.484530894522584
"AO","status","CA2",0.529669747256426
"AO","status","CA3",0.518210463570268
"AO","status","OR",0.657130503483362
"AO","status","WA",0.439033411781403
"AO","trend","CA1",0.007835516916063
"AO","trend","CA2",0.007160665069745
"AO","trend","CA3",0.007320732239006
"AO","trend","OR",0.005750822075247
"AO","trend","WA",0.050529283563212
"BD","pressures","CA1",0.323332487454786
"BD","pressures","CA2",0.27749058880482
"BD","pressures","CA3",0.285390974297945
"BD","pressures","OR",0.400827722875897
"BD","pressures","WA",0.278599658393749
"BD","resilience","CA1",0.543682824828575
"BD","resilience","CA2",0.585751550379343
"BD","resilience","CA3",0.579677753088581
"BD","resilience","OR",0.537552798060842
"BD","resilience","WA",0.583777482370151
"BD","status","CA1",0.633606900004695
"BD","status","CA2",0.67059667093399
"BD","status","CA3",0.679133725793962
"BD","status","OR",0.661076892519781
"BD","status","WA",0.661001967634454
"BD","trend","CA1",-0.164750486910505
"BD","trend","CA2",-0.111720998751615
"BD","trend","CA3",-0.105238584060576
"BD","trend","OR",-0.101181870558016
"BD","trend","WA",-0.017918302232898
"CP","pressures","CA1",0.244997863806682
"CP","pressures","CA2",0.221048322303009
"CP","pressures","CA3",0.215240359636894
"CP","pressures","OR",0.23731640661235
"CP","pressures","WA",0.164821082115877
"CP","resilience","CA1",0.551304886747239
"CP","resilience","CA2",0.591610595840173
"CP","resilience","CA3",0.58252231921852
"CP","resilience","OR",0.534749427149467
"CP","resilience","WA",0.543267004528893
"CP","status","CA1",0.502458074456084
"CP","status","CA2",0.524731431900418
"CP","status","CA3",0.565880364567654
"CP","status","OR",0.701221585892817
"CP","status","WA",0.546895267593375
"CP","trend","CA1",-0.122123821783859
"CP","trend","CA2",-0.049129608968447
"CP","trend","CA3",-0.140184003166297
"CP","trend","OR",-0.112635618409394
"CP","trend","WA",-0.069698243172286
"CS","pressures","CA1",0.255941209662541
"CS","pressures","CA2",0.224845839392168
"CS","pressures","CA3",0.224300750328362
"CS","pressures","OR",0.252184826673316
"CS","pressures","WA",0.175288986419406
"CS","resilience","CA1",0.551304886747239
"CS","resilience","CA2",0.591610595840173
"CS","resilience","CA3",0.58252231921852
"CS","resilience","OR",0.534749427149467
